0.9153357130805174,
0.9153370995025379,
0.9153405886646228,
0.9153406964974466,
0.9153413588990786,
0.9153421753476018,
0.91975362387224,
0.919755087317706,
0.9197533465878359,
0.9197532002432893,
0.919753554551139,
0.9197539781800897,
0.9197544403207633,
0.9197547330098564,
0.9197549024614368,
0.9197550950200507,
0.9212277139784876,
0.9212282531426066,
0.922697760353842,
0.9226986769328445,
0.92269927771572,
0.9299291296493912,
0.9299076247033846,
0.9299070701345764,
0.9299121382772958,
0.9299155812253133,
0.9493149527047545,
0.9493409096059159,
0.9625866238403985,
0.9628321129661592,
0.9628372119182568,
0.9627918451088087,
0.9627914291822025,
0.9627889721342884,
0.9627813699202095,
0.9628325982138664,
0.9628169624544131,
0.9643144599857731,
0.9658262530686333,
0.9701599233179223,
0.9703544691367747,
0.9707154318121526,
0.9708005273148322,
0.970854320489227,
0.9766866667285935,
0.9796900496445375,
0.9792150075439073,
0.9807903295646839,
0.9808746086188403,
0.9867899707278557,
0.986859499792183,
0.98701360059976,
0.9870133772317679,
0.9927006112996568,
0.9927081518949793,
0.992964224042163,
0.9930895334857812,
0.9931922827621883,
0.9932396983952889,
0.9932692676960481,
0.9946266210681707,
0.9947360328726207,
0.9950611180270463,
0.9952152804533797,
0.9966834166472838,
0.996979964615121,
0.9970932275918502,
0.997184577398311,
0.9973048264015544,
0.9973893673354258,
0.9988432464895525,
0.999063995684592,
0.9992716431915379,
0.9995553128392738,
0.9996288240157378,
0.99971823283137,
0.9998009406072366,
0.9998342455451064,
0.9998615888682882,
0.9998928603871947,
0.9999039517633586,
0.9999183243383043,
0.9999346224993896,
0.9999478551273406,
0.9999600402364318,
0.9999682971497982,
0.9999757376146415,
0.999979373121273,
0.9999850112374896,
0.9999875376065047,
0.9999892167176184,
0.9999916968725662,
0.9999928214148717,
0.9999943464790942,
0.9999953015698194,
0.999996040994897,
0.9999969036574876,
0.9999977817247673,
0.9999984595310883,
0.9999988138389381,
